Year,Carrier Airline Code,Carrier Name,Airport,Airport Name,Total Arriving Flights,Flights Delay More Than 15 Min,Carrier Delay Count,Weather Delay,NAS Delay Count,Security Delay,Late Aircraft Delay,Cancelled Arriving Flight,Arrival Flight Diverted,Total Arrival Delay,Avg Carrier Delay,Avg Weather Delay,Avg NAS Delay,Avg Security Delay,Avg Late Aircraft Delay,Month
2024,WN,Southwest Airlines,CMH,"Columbus, OH: John Glenn Columbus International",1020,226,85.16,0.62,24.43,1,114.79,3,2,13490,5177,63,827,15,7408,December
2024,WN,Southwest Airlines,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",399,96,37.72,0.51,12.19,0,45.57,1,1,5122,1450,61,339,0,3272,December
2024,WN,Southwest Airlines,CRP,"Corpus Christi, TX: Corpus Christi International",78,20,3.34,0.91,2.05,0,13.7,1,0,1848,114,548,58,0,1128,December
2024,WN,Southwest Airlines,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",172,45,20.98,0,3.25,0.15,20.62,0,0,2302,1013,0,134,10,1145,December
2024,WN,Southwest Airlines,DAL,"Dallas, TX: Dallas Love Field",6039,1354,351.11,32.12,410.13,5.82,554.81,46,75,103689,21299,4851,35798,182,41559,December
2024,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1351,300,72.9,5.98,83.77,0.5,136.86,3,3,17502,3917,553,3474,8,9550,December
2024,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7668,1320,381.48,14.1,199.13,6.59,718.69,18,3,76228,20282,1620,6810,310,47206,December
2024,WN,Southwest Airlines,DSM,"Des Moines, IA: Des Moines International",154,32,11.2,0,1.79,0,19.01,0,0,1293,394,0,52,0,847,December
2024,WN,Southwest Airlines,DTW,"Detroit, MI: Detroit Metro Wayne County",326,61,25.61,0.13,9.32,0,25.94,1,0,2553,985,14,343,0,1211,December
2024,WN,Southwest Airlines,ECP,"Panama City, FL: Northwest Florida Beaches International",154,30,7.33,1.36,3.62,0,17.69,0,0,1886,233,231,173,0,1249,December
2024,WN,Southwest Airlines,ELP,"El Paso, TX: El Paso International",832,153,46.27,2.28,16.34,2.32,85.79,5,0,9542,2375,427,592,84,6064,December
2024,WN,Southwest Airlines,EUG,"Eugene, OR: Mahlon Sweet Field",125,29,9.7,0,3.53,1,14.77,0,0,1516,367,0,107,22,1020,December
2024,WN,Southwest Airlines,FAT,"Fresno, CA: Fresno Yosemite International",130,21,8,0,3.44,0,9.56,0,0,833,340,0,118,0,375,December
2024,WN,Southwest Airlines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1110,239,75.82,2.44,61.29,0,99.45,4,0,14797,4218,127,3518,0,6934,December
2024,WN,Southwest Airlines,GEG,"Spokane, WA: Spokane International",329,76,25.01,0,10.97,0.33,39.69,0,1,4288,1134,0,278,17,2859,December
2024,WN,Southwest Airlines,GRR,"Grand Rapids, MI: Gerald R. Ford International",147,26,11.38,0,3.56,0,11.06,0,0,1055,389,0,109,0,557,December
2024,WN,Southwest Airlines,GSP,"Greer, SC: Greenville-Spartanburg International",125,28,12.86,0.08,3.55,0,11.51,0,0,1483,492,10,130,0,851,December
2024,WN,Southwest Airlines,HDN,"Hayden, CO: Yampa Valley",57,17,6.73,0.8,3.16,0,6.31,1,0,1002,222,37,84,0,659,December
2024,WN,Southwest Airlines,HNL,"Honolulu, HI: Daniel K Inouye International",1191,76,29.24,0,12.32,0,34.44,4,2,4232,1378,0,539,0,2315,December
2024,WN,Southwest Airlines,HOU,"Houston, TX: William P Hobby",4270,874,240.7,16.45,208.22,0.47,408.15,19,24,57765,12532,2164,12646,9,30414,December
2024,WN,Southwest Airlines,HRL,"Harlingen/San Benito, TX: Valley International",211,31,7.25,0.4,1.95,0,21.4,4,2,2010,293,42,76,0,1599,December
2024,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",103,26,9.58,0,3.04,0,13.39,0,0,1344,510,0,101,0,733,December
2024,WN,Southwest Airlines,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",154,23,10.04,0,2.65,0,10.32,1,0,1079,564,0,93,0,422,December
2024,WN,Southwest Airlines,IND,"Indianapolis, IN: Indianapolis International",939,199,67.8,1.94,23.52,0.43,105.31,1,0,11985,4345,345,676,9,6610,December
2024,WN,Southwest Airlines,ISP,"Islip, NY: Long Island MacArthur",232,58,21.06,0.17,6.36,0,30.41,2,0,3673,1069,7,340,0,2257,December
2024,WN,Southwest Airlines,ITO,"Hilo, HI: Hilo International",155,16,9.38,0,2.02,0,4.6,0,0,533,295,0,36,0,202,December
2024,WN,Southwest Airlines,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",125,28,10.24,1.87,3.72,0,12.17,1,1,1711,396,314,171,0,830,December
2024,WN,Southwest Airlines,JAX,"Jacksonville, FL: Jacksonville International",419,119,42.07,0,16.83,0.73,59.37,0,0,5884,1720,0,512,27,3625,December
2024,WN,Southwest Airlines,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",279,21,8.19,0,4.71,0,8.09,2,0,909,405,0,169,0,335,December
2024,WN,Southwest Airlines,LAS,"Las Vegas, NV: Harry Reid International",7116,1161,337.34,11.42,131.17,3.66,677.41,27,3,65556,17126,1351,4506,434,42139,December
2024,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",2087,400,125.64,4.84,49.68,1.2,218.64,3,0,21683,5816,432,1921,23,13491,December
2024,WN,Southwest Airlines,LBB,"Lubbock, TX: Lubbock Preston Smith International",237,55,13.73,1.64,3.93,0,35.7,2,0,3757,893,181,239,0,2444,December
2024,WN,Southwest Airlines,LGA,"New York, NY: LaGuardia",1022,256,79.3,3.01,83.66,0,90.03,9,0,13900,3863,240,3778,0,6019,December
2024,WN,Southwest Airlines,LGB,"Long Beach, CA: Long Beach Airport",1342,232,66.72,4.62,57.97,0,102.68,15,12,13933,3131,509,3977,0,6316,December
2024,WN,Southwest Airlines,LIH,"Lihue, HI: Lihue Airport",279,21,10.87,0,2.03,1,7.1,0,0,1088,693,0,42,15,338,December
2024,WN,Southwest Airlines,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",215,42,15.54,0.34,5,0,21.12,0,0,2324,693,29,344,0,1258,December
2024,WN,Southwest Airlines,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",322,57,19.37,0.51,8.99,0,28.14,2,1,3608,1001,65,482,0,2060,December
2024,WN,Southwest Airlines,MCI,"Kansas City, MO: Kansas City International",1948,369,123.98,3.99,34.74,1.67,204.62,4,1,20428,5537,289,1108,45,13449,December
2024,WN,Southwest Airlines,MCO,"Orlando, FL: Orlando International",3707,744,225.09,12.5,161.76,3.58,341.06,8,8,49104,13504,1097,9197,118,25188,December
2024,WN,Southwest Airlines,MDW,"Chicago, IL: Chicago Midway International",5401,998,301.45,6.07,179.07,1.93,509.47,26,11,55207,15312,580,6205,107,33003,December
2024,WN,Southwest Airlines,MEM,"Memphis, TN: Memphis International",308,71,28.88,0.88,8.35,0,32.89,0,1,4864,1464,41,325,0,3034,December
2024,WN,Southwest Airlines,MHT,"Manchester, NH: Manchester Boston Regional",226,50,19.67,0,3.09,0.11,27.13,1,0,2385,820,0,123,10,1432,December
2024,WN,Southwest Airlines,MIA,"Miami, FL: Miami International",383,95,29.87,0.87,37,0,27.26,3,0,5804,1740,130,2308,0,1626,December
2024,WN,Southwest Airlines,MKE,"Milwaukee, WI: General Mitchell International",781,163,63.21,1,18.38,1,79.4,1,1,8133,2784,18,792,99,4440,December
